Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;;Total;Todas las edades;Dato base;2021SM08;9.044
Total Nacional;;Total;Todas las edades;Dato base;2021SM07;9.509
Total Nacional;;Total;Todas las edades;Dato base;2021SM06;10.386
Total Nacional;;Total;Todas las edades;Dato base;2021SM05;11.590
Total Nacional;;Total;Todas las edades;Dato base;2021SM04;12.725
Total Nacional;;Total;Todas las edades;Dato base;2021SM03;12.977
Total Nacional;;Total;Todas las edades;Dato base;2021SM02;11.881
Total Nacional;;Total;Todas las edades;Dato base;2021SM01;10.487
Total Nacional;;Total;Todas las edades;Dato base;2020SM53;9.541
Total Nacional;;Total;Todas las edades;Dato base;2020SM52;9.038
Total Nacional;;Total;Todas las edades;Dato base;2020SM51;9.308
Total Nacional;;Total;Todas las edades;Dato base;2020SM50;9.553
Total Nacional;;Total;Todas las edades;Dato base;2020SM49;9.555
Total Nacional;;Total;Todas las edades;Dato base;2020SM48;9.563
Total Nacional;;Total;Todas las edades;Dato base;2020SM47;9.715
Total Nacional;;Total;Todas las edades;Dato base;2020SM46;10.043
Total Nacional;;Total;Todas las edades;Dato base;2020SM45;10.332
Total Nacional;;Total;Todas las edades;Dato base;2020SM44;9.614
Total Nacional;;Total;Todas las edades;Dato base;2020SM43;9.491
Total Nacional;;Total;Todas las edades;Dato base;2020SM42;8.608
Total Nacional;;Total;Todas las edades;Dato base;2020SM41;8.613
Total Nacional;;Total;Todas las edades;Dato base;2020SM40;8.208
Total Nacional;;Total;Todas las edades;Dato base;2020SM39;8.090
Total Nacional;;Total;Todas las edades;Dato base;2020SM38;8.191
Total Nacional;;Total;Todas las edades;Dato base;2020SM37;8.024
Total Nacional;;Total;Todas las edades;Dato base;2020SM36;7.796
Total Nacional;;Total;Todas las edades;Dato base;2020SM35;7.971
Total Nacional;;Total;Todas las edades;Dato base;2020SM34;7.916
Total Nacional;;Total;Todas las edades;Dato base;2020SM33;8.193
Total Nacional;;Total;Todas las edades;Dato base;2020SM32;8.417
Total Nacional;;Total;Todas las edades;Dato base;2020SM31;8.615
Total Nacional;;Total;Todas las edades;Dato base;2020SM30;7.847
Total Nacional;;Total;Todas las edades;Dato base;2020SM29;7.584
Total Nacional;;Total;Todas las edades;Dato base;2020SM28;7.759
Total Nacional;;Total;Todas las edades;Dato base;2020SM27;7.652
Total Nacional;;Total;Todas las edades;Dato base;2020SM26;7.527
Total Nacional;;Total;Todas las edades;Dato base;2020SM25;7.047
Total Nacional;;Total;Todas las edades;Dato base;2020SM24;6.861
Total Nacional;;Total;Todas las edades;Dato base;2020SM23;7.154
Total Nacional;;Total;Todas las edades;Dato base;2020SM22;7.637
Total Nacional;;Total;Todas las edades;Dato base;2020SM21;7.659
Total Nacional;;Total;Todas las edades;Dato base;2020SM20;7.546
Total Nacional;;Total;Todas las edades;Dato base;2020SM19;8.475
Total Nacional;;Total;Todas las edades;Dato base;2020SM18;9.025
Total Nacional;;Total;Todas las edades;Dato base;2020SM17;10.473
Total Nacional;;Total;Todas las edades;Dato base;2020SM16;13.260
Total Nacional;;Total;Todas las edades;Dato base;2020SM15;17.347
Total Nacional;;Total;Todas las edades;Dato base;2020SM14;20.989
Total Nacional;;Total;Todas las edades;Dato base;2020SM13;19.862
Total Nacional;;Total;Todas las edades;Dato base;2020SM12;12.891
Total Nacional;;Total;Todas las edades;Dato base;2020SM11;9.520
Total Nacional;;Total;Todas las edades;Dato base;2020SM10;8.504
Total Nacional;;Total;Todas las edades;Dato base;2020SM09;8.426
Total Nacional;;Total;Todas las edades;Dato base;2020SM08;8.441
Total Nacional;;Total;Todas las edades;Dato base;2020SM07;8.882
Total Nacional;;Total;Todas las edades;Dato base;2020SM06;9.245
Total Nacional;;Total;Todas las edades;Dato base;2020SM05;10.010
Total Nacional;;Total;Todas las edades;Dato base;2020SM04;10.014
Total Nacional;;Total;Todas las edades;Dato base;2020SM03;9.964
Total Nacional;;Total;Todas las edades;Dato base;2020SM02;9.444
Total Nacional;;Total;Todas las edades;Dato base;2020SM01;8.761
Total Nacional;;Total;Todas las edades;Dato base;2019SM52;8.381
Total Nacional;;Total;Todas las edades;Dato base;2019SM51;8.450
Total Nacional;;Total;Todas las edades;Dato base;2019SM50;8.375
Total Nacional;;Total;Todas las edades;Dato base;2019SM49;8.062
Total Nacional;;Total;Todas las edades;Dato base;2019SM48;8.367
