Total Nacional;Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
Total Nacional;;Dato base;2020SM17;10.473
Total Nacional;;Dato base;2020SM16;13.260
Total Nacional;;Dato base;2020SM15;17.347
Total Nacional;;Dato base;2020SM14;20.989
Total Nacional;;Dato base;2020SM13;19.862
Total Nacional;;Dato base;2020SM12;12.891
Total Nacional;;Dato base;2020SM11;9.520
Total Nacional;;Dato base;2020SM10;8.504
Total Nacional;;Dato base;2020SM09;8.426
Total Nacional;;Dato base;2020SM08;8.441
Total Nacional;;Dato base;2020SM07;8.882
Total Nacional;;Dato base;2020SM06;9.245
Total Nacional;;Dato base;2020SM05;10.010
Total Nacional;;Dato base;2020SM04;10.014
Total Nacional;;Dato base;2020SM03;9.964
Total Nacional;;Dato base;2020SM02;9.444
Total Nacional;;Dato base;2020SM01;8.761
Total Nacional;;Dato base;2019SM52;8.381
Total Nacional;;Dato base;2019SM51;8.450
Total Nacional;;Dato base;2019SM50;8.375
Total Nacional;;Dato base;2019SM49;8.062
Total Nacional;;Dato base;2019SM48;8.367
Total Nacional;;Dato base;2019SM47;8.258
Total Nacional;;Dato base;2019SM46;8.077
Total Nacional;;Dato base;2019SM45;7.733
Total Nacional;;Dato base;2019SM44;7.752
Total Nacional;;Dato base;2019SM43;7.585
Total Nacional;;Dato base;2019SM42;7.373
Total Nacional;;Dato base;2019SM41;7.376
Total Nacional;;Dato base;2019SM40;7.033
Total Nacional;;Dato base;2019SM39;7.089
Total Nacional;;Dato base;2019SM38;7.058
Total Nacional;;Dato base;2019SM37;6.986
Total Nacional;;Dato base;2019SM36;6.948
Total Nacional;;Dato base;2019SM35;6.939
Total Nacional;;Dato base;2019SM34;6.972
Total Nacional;;Dato base;2019SM33;7.177
Total Nacional;;Dato base;2019SM32;7.366
Total Nacional;;Dato base;2019SM31;7.177
Total Nacional;;Dato base;2019SM30;7.505
Total Nacional;;Dato base;2019SM29;7.357
Total Nacional;;Dato base;2019SM28;7.497
Total Nacional;;Dato base;2019SM27;8.103
Total Nacional;;Dato base;2019SM26;7.616
Total Nacional;;Dato base;2019SM25;7.459
Total Nacional;;Dato base;2019SM24;7.066
Total Nacional;;Dato base;2019SM23;7.558
Total Nacional;;Dato base;2019SM22;7.676
Total Nacional;;Dato base;2019SM21;7.499
Total Nacional;;Dato base;2019SM20;7.587
Total Nacional;;Dato base;2019SM19;7.783
Total Nacional;;Dato base;2019SM18;7.802
Total Nacional;;Dato base;2019SM17;7.804
Total Nacional;;Dato base;2019SM16;7.857
Total Nacional;;Dato base;2019SM15;8.099
Total Nacional;;Dato base;2019SM14;8.134
Total Nacional;;Dato base;2019SM13;8.216
Total Nacional;;Dato base;2019SM12;8.082
Total Nacional;;Dato base;2019SM11;8.246
Total Nacional;;Dato base;2019SM10;8.640
Total Nacional;;Dato base;2019SM09;8.972
Total Nacional;;Dato base;2019SM08;9.269
Total Nacional;;Dato base;2019SM07;9.413
Total Nacional;;Dato base;2019SM06;9.732
Total Nacional;;Dato base;2019SM05;10.023
Total Nacional;;Dato base;2019SM04;10.199
Total Nacional;;Dato base;2019SM03;10.527
Total Nacional;;Dato base;2019SM02;10.078
Total Nacional;;Dato base;2019SM01;9.180
Total Nacional;;Dato base;2018SM52;8.689
Total Nacional;;Dato base;2018SM51;8.468
Total Nacional;;Dato base;2018SM50;8.359
Total Nacional;;Dato base;2018SM49;8.092
Total Nacional;;Dato base;2018SM48;7.979
Total Nacional;;Dato base;2018SM47;7.971
Total Nacional;;Dato base;2018SM46;8.044
Total Nacional;;Dato base;2018SM45;8.078
Total Nacional;;Dato base;2018SM44;7.844
Total Nacional;;Dato base;2018SM43;7.386
Total Nacional;;Dato base;2018SM42;7.403
Total Nacional;;Dato base;2018SM41;7.500
Total Nacional;;Dato base;2018SM40;7.270
Total Nacional;;Dato base;2018SM39;7.296
Total Nacional;;Dato base;2018SM38;7.217
Total Nacional;;Dato base;2018SM37;6.880
Total Nacional;;Dato base;2018SM36;6.957
Total Nacional;;Dato base;2018SM35;6.977
Total Nacional;;Dato base;2018SM34;7.069
Total Nacional;;Dato base;2018SM33;7.239
Total Nacional;;Dato base;2018SM32;8.047
Total Nacional;;Dato base;2018SM31;7.785
Total Nacional;;Dato base;2018SM30;7.196
Total Nacional;;Dato base;2018SM29;7.224
Total Nacional;;Dato base;2018SM28;7.411
Total Nacional;;Dato base;2018SM27;7.352
Total Nacional;;Dato base;2018SM26;7.762
Total Nacional;;Dato base;2018SM25;7.774
Total Nacional;;Dato base;2018SM24;7.202
Total Nacional;;Dato base;2018SM23;7.167
Total Nacional;;Dato base;2018SM22;7.346
Total Nacional;;Dato base;2018SM21;7.565
Total Nacional;;Dato base;2018SM20;7.560
Total Nacional;;Dato base;2018SM19;7.641
Total Nacional;;Dato base;2018SM18;7.409
Total Nacional;;Dato base;2018SM17;7.779
Total Nacional;;Dato base;2018SM16;8.155
Total Nacional;;Dato base;2018SM15;8.373
Total Nacional;;Dato base;2018SM14;8.459
Total Nacional;;Dato base;2018SM13;8.672
Total Nacional;;Dato base;2018SM12;8.655
Total Nacional;;Dato base;2018SM11;8.907
Total Nacional;;Dato base;2018SM10;9.241
Total Nacional;;Dato base;2018SM09;9.646
Total Nacional;;Dato base;2018SM08;9.704
Total Nacional;;Dato base;2018SM07;10.147
Total Nacional;;Dato base;2018SM06;10.065
Total Nacional;;Dato base;2018SM05;9.955
Total Nacional;;Dato base;2018SM04;10.376
Total Nacional;;Dato base;2018SM03;11.014
Total Nacional;;Dato base;2018SM02;10.987
Total Nacional;;Dato base;2018SM01;11.260
Total Nacional;;Dato base;2017SM52;10.475
Total Nacional;;Dato base;2017SM51;9.667
Total Nacional;;Dato base;2017SM50;9.307
Total Nacional;;Dato base;2017SM49;8.658
Total Nacional;;Dato base;2017SM48;8.295
Total Nacional;;Dato base;2017SM47;8.217
Total Nacional;;Dato base;2017SM46;8.111
Total Nacional;;Dato base;2017SM45;7.669
Total Nacional;;Dato base;2017SM44;7.550
Total Nacional;;Dato base;2017SM43;7.343
Total Nacional;;Dato base;2017SM42;7.467
Total Nacional;;Dato base;2017SM41;7.289
Total Nacional;;Dato base;2017SM40;7.454
Total Nacional;;Dato base;2017SM39;7.430
Total Nacional;;Dato base;2017SM38;7.146
Total Nacional;;Dato base;2017SM37;6.791
Total Nacional;;Dato base;2017SM36;6.728
Total Nacional;;Dato base;2017SM35;7.063
Total Nacional;;Dato base;2017SM34;7.255
Total Nacional;;Dato base;2017SM33;7.165
Total Nacional;;Dato base;2017SM32;7.229
Total Nacional;;Dato base;2017SM31;7.646
Total Nacional;;Dato base;2017SM30;7.152
Total Nacional;;Dato base;2017SM29;7.310
Total Nacional;;Dato base;2017SM28;7.254
Total Nacional;;Dato base;2017SM27;7.206
Total Nacional;;Dato base;2017SM26;7.190
Total Nacional;;Dato base;2017SM25;8.038
Total Nacional;;Dato base;2017SM24;7.863
Total Nacional;;Dato base;2017SM23;7.108
Total Nacional;;Dato base;2017SM22;7.142
Total Nacional;;Dato base;2017SM21;7.723
Total Nacional;;Dato base;2017SM20;7.550
Total Nacional;;Dato base;2017SM19;7.663
Total Nacional;;Dato base;2017SM18;7.578
Total Nacional;;Dato base;2017SM17;7.706
Total Nacional;;Dato base;2017SM16;7.613
Total Nacional;;Dato base;2017SM15;7.839
Total Nacional;;Dato base;2017SM14;7.851
Total Nacional;;Dato base;2017SM13;7.874
Total Nacional;;Dato base;2017SM12;7.920
Total Nacional;;Dato base;2017SM11;7.945
Total Nacional;;Dato base;2017SM10;8.264
Total Nacional;;Dato base;2017SM09;8.422
Total Nacional;;Dato base;2017SM08;8.717
Total Nacional;;Dato base;2017SM07;9.064
Total Nacional;;Dato base;2017SM06;9.691
Total Nacional;;Dato base;2017SM05;10.679
Total Nacional;;Dato base;2017SM04;11.130
Total Nacional;;Dato base;2017SM03;11.380
Total Nacional;;Dato base;2017SM02;11.471
Total Nacional;;Dato base;2017SM01;10.771
Total Nacional;;Dato base;2016SM52;9.907
Total Nacional;;Dato base;2016SM51;9.006
Total Nacional;;Dato base;2016SM50;8.648
Total Nacional;;Dato base;2016SM49;8.153
Total Nacional;;Dato base;2016SM48;8.363
Total Nacional;;Dato base;2016SM47;8.127
Total Nacional;;Dato base;2016SM46;8.113
Total Nacional;;Dato base;2016SM45;7.808
Total Nacional;;Dato base;2016SM44;7.275
Total Nacional;;Dato base;2016SM43;7.549
Total Nacional;;Dato base;2016SM42;7.245
Total Nacional;;Dato base;2016SM41;7.093
Total Nacional;;Dato base;2016SM40;7.133
Total Nacional;;Dato base;2016SM39;7.094
Total Nacional;;Dato base;2016SM38;7.017
Total Nacional;;Dato base;2016SM37;6.701
Total Nacional;;Dato base;2016SM36;7.277
Total Nacional;;Dato base;2016SM35;7.159
Total Nacional;;Dato base;2016SM34;7.228
Total Nacional;;Dato base;2016SM33;7.158
Total Nacional;;Dato base;2016SM32;7.275
Total Nacional;;Dato base;2016SM31;7.475
Total Nacional;;Dato base;2016SM30;7.333
Total Nacional;;Dato base;2016SM29;7.412
Total Nacional;;Dato base;2016SM28;7.482
Total Nacional;;Dato base;2016SM27;7.552
Total Nacional;;Dato base;2016SM26;7.385
Total Nacional;;Dato base;2016SM25;7.208
Total Nacional;;Dato base;2016SM24;7.192
Total Nacional;;Dato base;2016SM23;7.621
Total Nacional;;Dato base;2016SM22;7.299
Total Nacional;;Dato base;2016SM21;7.348
Total Nacional;;Dato base;2016SM20;7.591
Total Nacional;;Dato base;2016SM19;7.428
Total Nacional;;Dato base;2016SM18;7.659
Total Nacional;;Dato base;2016SM17;7.506
Total Nacional;;Dato base;2016SM16;7.630
Total Nacional;;Dato base;2016SM15;7.911
Total Nacional;;Dato base;2016SM14;8.036
Total Nacional;;Dato base;2016SM13;8.417
Total Nacional;;Dato base;2016SM12;8.332
Total Nacional;;Dato base;2016SM11;8.872
Total Nacional;;Dato base;2016SM10;8.703
Total Nacional;;Dato base;2016SM09;8.689
Total Nacional;;Dato base;2016SM08;8.707
